time,temperature,humidity,windspeed,city,THI,date
2024-06-02T07:00,18.1,96,3.7,温州,18.0208,2024-06-02
2024-06-02T08:00,18.6,95,1.1,温州,18.48725,2024-06-02
2024-06-02T09:00,18.6,94,1.9,温州,18.4647,2024-06-02
2024-06-02T10:00,19.1,94,10.1,温州,18.9482,2024-06-02
2024-06-02T11:00,18.9,92,12.7,温州,18.7064,2024-06-02
2024-06-02T12:00,18.2,89,11.8,温州,17.97615,2024-06-02
2024-06-02T13:00,18.5,83,7.9,温州,18.126,2024-06-02
2024-06-02T14:00,19.1,81,5.4,温州,18.619300000000003,2024-06-02
2024-06-02T15:00,19.7,79,3.6,温州,19.0994,2024-06-02
2024-06-02T16:00,19.5,80,2.3,温州,18.95,2024-06-02
2024-06-02T17:00,19.3,83,4.5,温州,18.851200000000002,2024-06-02
2024-06-02T18:00,19.2,85,4.4,温州,18.81225,2024-06-02
2024-06-02T19:00,17.9,94,4.3,温州,17.787799999999997,2024-06-02
2024-06-02T20:00,17.4,94,5.1,温州,17.304299999999998,2024-06-02
2024-06-02T21:00,17.8,92,5.1,温州,17.6548,2024-06-02
2024-06-02T22:00,17.5,93,5.2,温州,17.3845,2024-06-02
2024-06-02T23:00,16.6,92,6.6,温州,16.5076,2024-06-02
2024-06-03T00:00,15.6,92,7.1,温州,15.5516,2024-06-03
2024-06-03T01:00,14.8,93,7.6,温州,14.788450000000001,2024-06-03
2024-06-03T02:00,14.6,94,6.1,温州,14.5967,2024-06-03
2024-06-03T03:00,15.0,94,4.5,温州,14.9835,2024-06-03
2024-06-03T04:00,15.5,90,4.7,温州,15.445,2024-06-03
2024-06-03T05:00,14.9,92,4.3,温州,14.8824,2024-06-03
2024-06-03T06:00,16.0,89,5.1,温州,15.90925,2024-06-03
2024-06-03T07:00,16.9,87,5.4,温州,16.728399999999997,2024-06-03
2024-06-03T08:00,17.9,87,3.9,温州,17.6569,2024-06-03
2024-06-03T09:00,20.1,77,3.9,温州,19.3916,2024-06-03
2024-06-03T10:00,21.3,70,4.5,温州,20.178,2024-06-03
2024-06-03T11:00,22.6,62,2.1,温州,20.9071,2024-06-03
2024-06-03T12:00,23.1,59,1.5,温州,21.160700000000002,2024-06-03
2024-06-03T13:00,24.1,49,1.9,温州,21.4072,2024-06-03
2024-06-03T14:00,24.5,44,3.4,温州,21.419999999999998,2024-06-03
2024-06-03T15:00,24.8,44,2.1,温州,21.6276,2024-06-03
2024-06-03T16:00,24.5,48,2.6,温州,21.64,2024-06-03
